cell_suspension.biomaterial_core.biomaterial_id,cell_suspension.provenance.document_id,annotated_cell_identity.text,annotated_cell_identity.ontology,annotated_cell_identity.ontology_label
23728_4_199,94615816-8c31-4443-846e-0725303ac982,villous cytotrophoblast cell,CL:2000060,placental villous trophoblast
24087_3_358,479890e0-57ff-477d-9d5d-2ae9cfbb2a8c,granulocyte,CL:0000094,granulocyte
24087_1_367,e02f74fe-7d6c-4948-ac99-d2cb2735d83d,decidual natural killer cell type 3,CL:0002343,decidual natural killer cell
23728_7_153,50ae16ed-d4fc-4d7e-a50c-67cef3f77f9b,decidual macrophage type 2,CL:0000235,macrophage
24087_6_290,ac087aac-41a8-4048-8449-fd3043ead563,decidual natural killer cell type 3,CL:0002343,decidual natural killer cell
24087_3_74,ba943465-8d81-43fa-b08d-b73c544459db,decidual macrophage type 1,CL:0000235,macrophage
24087_3_7,a1642e6e-1b10-44fc-8c3c-e932d64b1761,decidual macrophage type 1,CL:0000235,macrophage
24087_6_8,93c61aaa-086c-49b1-8c6c-5f3f6691deac,decidual macrophage type 1,CL:0000235,macrophage
24088_8_22,630c65bd-4122-46a4-8951-4d2dfe42f07c,NA,NA,NA
24088_8_122,aeb2c61a-1258-4d27-a37e-b6062efe7685,NA,NA,NA
23728_4_344,dae6aa2c-82b7-4ef3-a189-f9237f670e84,NA,NA,NA
24087_5_226,5c6bd141-57d1-4e61-9107-3a5195654153,NA,NA,NA
23728_4_252,9d5ff20e-84e3-4d0f-bc50-4853557cd881,decidual stromal cell type 2,CL:2000002,decidual cell
24087_8_278,cc043cc1-2b4b-46f8-ad44-5da5e2925981,NA,NA,NA
24087_4_141,b11cf343-f436-4f2c-90fe-652b87039c27,NA,NA,NA
24087_6_248,79d0b3d4-f291-419b-a881-9c38d1b527b2,decidual natural killer cell type 1,CL:0002343,decidual natural killer cell
23728_8_341,f584b4e4-13c8-48cb-adb2-e9b07994e61f,NA,NA,NA
23728_4_351,c54dbdfd-80b9-43be-9b22-248a5bde5187,NA,NA,NA
23728_5_146,1f85b61f-ff0e-4f27-a75f-60dd3f254e56,decidual macrophage type 1,CL:0000235,macrophage
24088_7_202,2c13c52e-8b35-440c-8aba-62dacba67ad2,NA,NA,NA
24087_5_280,6dbc66bd-e050-4680-8172-4a6831079038,NA,NA,NA
23728_8_52,2103a454-7a06-42be-8471-d8b82dffc12c,decidual macrophage type 2,CL:0000235,macrophage
