cell_suspension.biomaterial_core.biomaterial_id,inferred_cell_type,cell_suspension.provenance.document_id
D26Dp14E07,nMGE.24.LHX8,9a182d7a-8a63-4613-93e4-7ee75c522f69
D26Dp14E08,nMGE.24.LHX8,4afcf0f1-f512-4232-b448-6db638a90f1e
D26Dp14E09,nMGE.24.LHX8,d4a1b0ff-5bb8-4728-bc7e-6d3e4b3bd09a
D26Dp14E10,nMGE.24.LHX8,c8286cf6-00c7-41e9-83fc-6e308ab8024f
D26Dp14F01,nMGE.24.LHX8,1484b8b8-0595-45fb-bd14-c681f3b366a5
D26Dp14F02,nMGE.24.LHX8,b276d754-78b5-492c-b107-db2dd2c939bd
D26Dp14F05,nMGE.24.LHX8,c2ab8188-50cc-4352-b632-6b2493a457f3
D26Dp14F06,nMGE.24.LHX8,58f06130-394a-4c83-92e6-c694acb4a0d0
D26Dp14F08,nMGE.24.LHX8,bdd55044-7ea2-4e83-abd4-647130c54a7a
D26Dp14F09,nMGE.24.LHX8,a02707b8-fa6a-43e1-a66e-0c22f0bc7540
D26Dp14F10,nMGE.24.LHX8,d8e34d41-0832-4012-aeab-7f7e2276a4c9
D26Dp14F11,nMGE.24.LHX8,29b1661a-10c1-4928-bdad-949c7c770b72
D26Dp14G02,nMGE.24.LHX8,e701d9a9-a11d-4298-8cbc-eead5ad35ca5
D26Dp14G03,nMGE.24.LHX8,c6cb0bf7-5ca6-441d-92f8-a3d3dacf980f
D26Dp14G04,nMGE.24.LHX8,7226d891-d6d4-459b-a076-0d4003fe054c
D26Dp14G05,nMGE.24.LHX8,443c66d0-ac5d-4ee3-922b-c921fe78f4fe
D26Dp14G06,nMGE.24.LHX8,de5cd100-4d34-4495-91f5-cbbce640f2bc
D26Dp14G07,nMGE.24.LHX8,186b2fbd-3099-43e8-bfdd-4378f9507095
D26Dp14G08,nMGE.24.LHX8,4f318c6a-1e18-465e-9758-faa960bb0916
D26Dp14G09,nMGE.24.LHX8,ac8cf549-1618-4858-891d-1e106fe909b5
D26Dp14G10,nMGE.24.LHX8,875f8f41-3732-41e0-9289-d2905510023a
D26Dp14H01,nMGE.24.LHX8,e0a58ff0-280e-42bc-96c9-88598378fe81
D26Dp14H02,nMGE.24.LHX8,61c38de6-9aaf-4fe7-97ed-6bbcc4717a01
D26Dp14H03,nMGE.24.LHX8,86b2a775-42f7-48ef-820c-97f093a7344b
D26Dp14H04,nMGE.24.LHX8,92e30963-bcf1-4057-a32f-233274b5da32
D26Dp14H05,nMGE.24.LHX8,3aa23c2a-58b7-40f0-ab7e-b1396329fc0a
D26Dp14H06,nMGE.24.LHX8,607942cc-e9b9-42d6-b8b0-3fe995bb8e63
D26Dp14H08,nMGE.24.LHX8,58b28b4f-f26a-4acb-b730-1c29a1554daf
D26Dp14H10,nMGE.24.LHX8,5537c53b-6b3b-4430-9fca-5bd5a92057e4
D26Dp14H11,nMGE.24.LHX8,5406e0e4-daca-4a75-8160-17910bb342b8
D26Dp28A01,nMGE.24.LHX8,3fb1fbe1-7607-4555-b994-7a767b592bef
D26Dp28A06,nMGE.24.LHX8,473b08bf-547b-4a9a-be73-9bc0a7ba3b56
D26Dp28A07,nMGE.24.LHX8,4139e88e-3909-4236-b7cc-c8a5bca40d89
D26Dp28A11,nMGE.24.LHX8,510be3f4-a95a-4904-ad7f-5d2f703c3345
D26Dp28B03,nMGE.24.LHX8,4632c842-5dbd-4b2b-b609-68d57511d569
D26Dp28B05,nMGE.24.LHX8,441c4e86-f457-48fd-bfcc-1296f51e4b9f
D26Dp28B09,nMGE.24.LHX8,2a7447ff-0c68-4e8d-99a3-603396e42d26
D26Dp28C01,nMGE.24.LHX8,317a0e4a-3665-4ea4-8f3d-7ec43ed55912
D26Dp28C02,nMGE.24.LHX8,5c66699f-949b-4483-b14b-640f272990fe
D26Dp28C03,nMGE.24.LHX8,cda9b715-ac3d-4934-a68f-5f5067f8d8b4
D26Dp28C04,nMGE.24.LHX8,3f1b4b42-e4f9-4ea6-8de2-f8073d0fb962
D26Dp28C05,nMGE.24.LHX8,4debf645-fcd9-4587-b597-ceb2346e644d
D26Dp28C11,nMGE.24.LHX8,24176a55-5dba-4b9c-bbd5-3c3dc1e3b997
D26Dp28D01,nMGE.24.LHX8,dcd198a6-8853-4fc8-9d2e-58445aab4824
D26Dp28D02,nMGE.24.LHX8,9b797c70-d5c7-4652-8cfd-a5e773004d17
D26Dp28D03,nMGE.24.LHX8,f7353fca-d8c6-4cba-8453-060b0751ec86
D26Dp28D07,nMGE.24.LHX8,00e86aea-cf83-485f-8346-5eb2dd369703
D26Dp28D11,nMGE.24.LHX8,bf78b19c-ae34-4c89-b2f2-cacd0873838b
D26Dp28E06,nMGE.24.LHX8,8c0fec9b-9776-44d3-9423-a67148c5a7e7
D26Dp28E08,nMGE.24.LHX8,1d5cf107-3bca-438e-84dc-f16b171a7c79
D26Dp28E09,nMGE.24.LHX8,7e5265a8-dedd-4102-870e-985d99ebf9aa
D26Dp28F01,nMGE.24.LHX8,ac87b4f4-34a2-4261-99be-939771f03fad
D26Dp28F03,nMGE.24.LHX8,cac382af-1ee2-4a64-be1f-f17a61e7262f
D26Dp28F08,nMGE.24.LHX8,01bd1bb2-bc65-4cfa-a757-8ddcae5f6fd0
D26Dp28F11,nMGE.24.LHX8,47e82c33-146c-4918-bc0b-8088b2ac20f1
D26Dp28G03,nMGE.24.LHX8,57b4d59c-b593-44f8-bfbe-783f7fbe60e8
D26Dp28G06,nMGE.24.LHX8,b3519c4d-2f56-494a-ae57-03a6ca69cbfa
D26Dp28G07,nMGE.24.LHX8,923d338f-2dba-4444-bc4f-5cc04712995b
D26Dp28G10,nMGE.24.LHX8,4ea6ab21-c762-4a6d-bcec-ad7e5f78a0c0
D26Dp28G11,nMGE.24.LHX8,f15e6d5f-37f6-4d8e-bac3-49a66b040bf0
