cell_suspension.biomaterial_core.biomaterial_id,inferred_cell_type,organism_part,cell_suspension.provenance.document_id
23728_4_325,decidual stromal cell (dS1),decidua,aa6fd452-4c6a-4651-a6a5-4ae2300e9a46
24088_4_218,decidual stromal cell (dS1),decidua,41e474dd-b00d-49b1-918d-88106b9d90f9
24088_8_189,T cell,decidua,055f94f1-a973-45ff-b487-aefee7fc67bd
23728_3_266,villous cytotrophoblast (VCT),decidua,5976e894-214e-488c-bf12-72e16fe3684a
24087_8_205,NA,decidua,ebaf64a7-e25b-42f4-984f-54dfce1e0ab3
24087_1_200,decidual natural killer cell (dNK1),decidua,52bb9335-f8e6-45fe-9b6b-dce4fa83e57d
24087_1_332,decidual stromal cell (dS1),decidua,184bd192-a4ea-403d-8645-883f7fef7cfa
24088_8_12,T cell,decidua,9a829e05-ad4f-4994-b550-3439d545ed70
23728_4_16,T cell,decidua,55b506a8-7ab5-4189-b46b-73fb34ffc16e
24088_4_372,decidual stromal cell (dS1),decidua,62c5f97f-ab1e-4a5a-98b1-42ab63b3834b
24088_7_4,decidual macrophage (dM2),decidua,23a1f367-694e-41d5-af49-4bc39a9a85c7
24088_8_376,placental extravillous trophoblast cell (EVT),decidua,b085f990-d10d-4add-bfa9-0573b56af4fe
24087_6_127,decidual macrophage (dM2),decidua,460ea720-a235-454b-b848-d12624407e89
24087_3_307,NA,decidua,7a094f21-f760-45bf-936c-3b2ed50ae5e4
24087_3_209,NA,decidua,585c3737-9cce-45b1-84ec-a64a07bbc1c1
23728_4_324,decidual stromal cell (dS1),decidua,2e018414-ccb8-4df9-b844-f8874f5cbf4f
24087_7_98,decidual macrophage (dM1),decidua,9b0cf2f4-c776-49da-acd7-7687801a77f4
23728_4_362,NA,decidua,f6b72a80-c279-4a11-a4bf-38539ecb2847
24087_2_223,NA,decidua,c9ff0240-9627-4e02-ab16-123217ae06cd
23728_6_232,maternal endothelial cell (Endo m),decidua,58aabb8b-6305-4ed6-9521-f21b53ec08f9
24087_4_342,innate lymphoid cell (ILC3),decidua,a17ac05b-2bac-4f6f-bc9f-85bc5fa8029d
24087_1_164,T cell,decidua,159cddec-9803-4846-be5f-5b947c4f5f05
24087_8_223,decidual natural killer cell (dNK2),decidua,3aa1cc86-9d24-4f8b-95a0-8264a847661e
24087_3_81,decidual macrophage (dM1),decidua,e905064f-34fb-47b9-a2aa-e228200a4281
23728_5_130,decidual macrophage (dM1),decidua,37078783-5555-4e7a-ab2d-f820b34ee1fa
24087_7_135,T cell,decidua,22cefd3e-5eef-4317-aee7-8658a2004916
24088_4_233,maternal endothelial cell (Endo m),decidua,6e7ae363-fc64-4a73-90c4-cb5a79210310
24087_8_130,decidual macrophage (dM2),decidua,c6b5d6ff-a25a-4c5b-9c2b-1d8d421c39ef
24087_2_160,T cell,decidua,d2d1e5a6-304f-4268-90e8-227dfdd8c06d
24087_3_39,T cell,decidua,739846e7-b277-4949-b706-398197872f05
23728_3_241,decidual natural killer cell (dNK1),decidua,e24b0d7b-ac6c-4f75-8e04-fffc53acabe1
23728_3_265,NA,decidua,2af2c2a0-d8eb-4d98-b7db-2ad58af8356d
24087_2_362,decidual natural killer cell (dNK3),decidua,c023e6a3-a456-4743-91bb-eb53822d13f3
23728_4_213,villous cytotrophoblast (VCT),decidua,56281459-1ae1-4a75-b1cc-6ecba470139b
23728_5_305,decidual stromal cell (dS1),decidua,f9ec8267-efa6-465d-bb20-4332fb4433ae
24088_8_153,decidual macrophage (dM2),decidua,0fb4585e-bb98-42d3-8d0d-f5639ec94444
24087_4_370,NA,decidua,6d7ac830-12ef-4e17-a848-b05eb4a1b5c4
24087_4_308,decidual stromal cell (dS2),decidua,b32548c5-b565-46f4-b8c8-c82bb8d2e96e
24088_8_282,NA,decidua,50b61edd-1803-4583-b519-bd76a560d763
23728_5_253,decidual perivascular cell (dP2),decidua,86e89662-7450-4958-924e-451fa3fca89e
24087_1_233,decidual stromal cell (dS1),decidua,621832aa-ea3e-4e8b-88e2-8f372bd66f6c
23728_7_249,NA,decidua,dc23394a-435d-46ec-8c9b-c6439652e6f6
24088_8_139,T cell,decidua,4a020688-bc7e-4338-b44b-f018e700583a
23728_8_54,villous cytotrophoblast (VCT),decidua,0c6fd012-fa3d-4d71-8a23-6ce513c47c77
24087_2_178,decidual macrophage (dM1),decidua,7835fa95-3bfc-4672-a174-f4b8792b93fd
23728_6_66,T cell,decidua,bfd25f6e-80a0-4704-8545-87101be5f6ec
