cell_suspension.biomaterial_core.biomaterial_id,cell_suspension.provenance.document_id,annotated_cell_identity.text,annotated_cell_identity.ontology,annotated_cell_identity.ontology_label
24088_3_256,b5713ef4-d9e8-47d7-b7af-585fab158532,T cell,CL:0000084,T cell
24088_5_94,0d39c0c8-5800-4d9c-8e02-058660a2017b,monocyte,CL:0000576,monocyte
24088_3_19,fd8b9371-5739-4fb6-b000-04f85b7d8425,monocyte,CL:0000576,monocyte
24088_4_47,2284938e-de53-4527-b3f9-43460fe08bd0,T cell,CL:0000084,T cell
24088_5_159,e633100f-ac61-486d-a679-33c36e180255,T cell,CL:0000084,T cell
24088_3_112,d900ff6d-8072-4a24-ad8f-809096cf2e81,monocyte,CL:0000576,monocyte
24088_6_195,6ffef316-000b-4263-8070-e4a5b248eb5c,T cell,CL:0000084,T cell
24088_3_178,328089cc-e825-476c-a406-ac4718c98838,T cell,CL:0000084,T cell
24088_5_216,fa9f8a8b-a367-4553-968f-828e20fdbed0,monocyte,CL:0000576,monocyte
24088_3_109,b74be91f-9254-434c-a916-b862141953bc,monocyte,CL:0000576,monocyte
24088_4_10,a1a603c0-ad4b-4eb2-8cce-991e94df88e2,T cell,CL:0000084,T cell
24088_6_4,1bc8c0f7-8d43-4c02-9f97-a3e00970f102,T cell,CL:0000084,T cell
24088_5_320,42e9a0d3-b946-4dbd-89cd-78375de2bfa7,monocyte,CL:0000576,monocyte
24088_6_116,08440894-37eb-4611-8efb-9984579ce749,monocyte,CL:0000576,monocyte
24088_4_188,f3a8c227-b06b-49b7-b38e-8a39ff81987e,T cell,CL:0000084,T cell
24088_4_94,e0c82d6b-4c76-4754-8830-b0b703caf2c6,T cell,CL:0000084,T cell
24088_3_72,4c3c0a10-fcbd-49f6-ade7-15eaa749fee5,T cell,CL:0000084,T cell
24088_4_89,f14cb62a-378f-4a39-ba71-f181f00851f1,T cell,CL:0000084,T cell
24088_4_142,66c9c888-02e5-4a94-b438-628fbaa93e46,T cell,CL:0000084,T cell
24088_3_317,5c04945d-d545-40a8-906d-f22e46cb3cdd,T cell,CL:0000084,T cell
24088_6_126,d612785f-75f8-426a-9642-3517efdc4b3c,T cell,CL:0000084,T cell
24088_6_297,0e13b5bf-515d-4f3e-93c8-587fa25f3b64,monocyte,CL:0000576,monocyte
24088_5_181,910377c5-59da-4ca8-af3a-0d9930aaa026,T cell,CL:0000084,T cell
24088_3_365,a047b73c-a4e9-4e44-9f0b-cdf9e7f487a1,T cell,CL:0000084,T cell
24088_5_124,f324ad1c-7a1f-400a-9bf2-7f682f3ff63d,T cell,CL:0000084,T cell
24088_6_144,700931af-62d0-40cf-8bd7-29a5d9067454,T cell,CL:0000084,T cell
24088_4_112,e3e3dea7-a000-4431-a726-c226dee4d9c1,T cell,CL:0000084,T cell
24088_4_83,0dca0c52-89e5-406f-9d5e-ee7bcb1f19bb,T cell,CL:0000084,T cell
24088_5_339,7fa11b4b-cca5-4ab3-b520-432fd7aed971,T cell,CL:0000084,T cell
24088_3_104,48d3cd6e-b7a6-40b9-9bdb-5de54b8f90ef,T cell,CL:0000084,T cell
24088_6_53,c506cc1a-0a03-4934-adf3-92546c3ee392,T cell,CL:0000084,T cell
24088_6_364,dd1c970f-7d16-42c5-ae10-46f76db9a9ba,T cell,CL:0000084,T cell
24088_5_77,d9b88cbd-5cc0-4b20-9ab2-2ef26fc72200,NA,NA,NA
24088_6_127,a27458b6-321e-4de8-bfb1-e19ce5ae58c0,NA,NA,NA
24088_3_185,197765f8-be23-4f13-a474-b947d8bfaed7,conventional dendritic cell,CL:0000990,conventional dendritic cell
24088_6_322,b9152834-58a8-41b2-bb97-4328db13a0d8,monocyte,CL:0000576,monocyte
24088_6_168,c686086f-f1d8-4d5a-8d83-e2f10955911d,T cell,CL:0000084,T cell
24088_4_108,ac317284-d9e7-4314-b2b7-ab97fe91d8f2,T cell,CL:0000084,T cell
24088_6_151,c6313eae-7a0c-4ee5-b9e9-f37bda6e71c5,T cell,CL:0000084,T cell
24088_4_12,59515a43-10db-4197-8745-34d730ab8d31,T cell,CL:0000084,T cell
24088_4_86,43f5ebed-2547-4c61-9100-5f06f20a9c33,T cell,CL:0000084,T cell
24088_5_193,1a59d057-1c07-4adb-afab-23abe4a95aa3,monocyte,CL:0000576,monocyte
24088_6_35,8d832e00-630b-4231-b7d7-cc3dc9534160,monocyte,CL:0000576,monocyte
24088_3_18,3e7acf99-d317-4964-80c6-551533b9cf55,monocyte,CL:0000576,monocyte
24088_5_102,911b09b1-d01e-4a4e-954e-a810b0a9a7aa,T cell,CL:0000084,T cell
24088_3_27,caebba81-060e-41be-873d-a99964d0e6a8,T cell,CL:0000084,T cell
24088_6_60,325e4f13-6f98-49d3-9ec1-612486f4e88c,monocyte,CL:0000576,monocyte
24088_5_103,06163a4a-cbea-4750-aee4-cb74fe27819e,T cell,CL:0000084,T cell
24088_6_264,824d18f3-9cf3-4e93-bfc6-73d15e47e3c3,T cell,CL:0000084,T cell
24088_4_144,35fc3b30-3ca3-4cd3-8622-2911f2addf25,T cell,CL:0000084,T cell
24088_3_211,15421c3f-e0e7-4218-a1f1-fd70a5b84353,T cell,CL:0000084,T cell
24088_4_40,39841fc2-82d0-4163-9a2b-f82839f6b478,T cell,CL:0000084,T cell
24088_4_30,863cd55d-a1db-448b-9996-9390811da9f8,T cell,CL:0000084,T cell
24088_3_54,dd7a46be-0706-4388-8819-124d0a560b0a,T cell,CL:0000084,T cell
24088_4_56,8ff64dc1-e234-457a-bb07-82839683b34d,CD16+ natural killer cell,CL:0000939,"CD16-positive, CD56-dim natural killer cell"
24088_3_313,faed90f4-506c-4772-a8bb-1297276adc19,T cell,CL:0000084,T cell
24088_3_274,94a3d1bc-bacb-43c9-9ca4-c7df57d0ab2c,T cell,CL:0000084,T cell
24088_5_288,b75af4ed-d34c-4ef4-9243-f77c61743e66,monocyte,CL:0000576,monocyte
24088_3_218,ef077254-3570-4f83-8745-d14330dc9061,T cell,CL:0000084,T cell
24088_3_342,fce189f4-a7b2-4a4f-949d-9803a8f334b8,CD16- natural killer cell,CL:0000938,"CD16-negative, CD56-bright natural killer cell"
24088_6_298,52003bab-29f5-49f6-a8e1-78b07c84b182,monocyte,CL:0000576,monocyte
24088_3_182,ab262338-22bb-4b45-8902-34d52825b1e7,plasmacytoid dendritic cell,CL:0000784,plasmacytoid dendritic cell
24088_6_267,529bc73e-dc1e-49aa-8f6b-df3f120c74e3,T cell,CL:0000084,T cell
24088_5_100,a967f256-5aba-4faf-ba67-ad49beb0e068,T cell,CL:0000084,T cell
24088_5_366,f6d6346c-4cc4-4b09-83fa-15efd8f9015c,NA,NA,NA
24088_6_49,c0eedb9e-15ee-40ad-bd17-ff3622b3fff8,CD16+ natural killer cell,CL:0000939,"CD16-positive, CD56-dim natural killer cell"
24088_6_219,09fedf19-bd4c-4b52-aadd-77ebf137f27e,T cell,CL:0000084,T cell
24088_6_233,38f386d9-3de5-47da-ae6e-7dd72da02a45,monocyte,CL:0000576,monocyte
24088_6_338,70512f37-758c-45a7-8fb5-42486cd16e8b,T cell,CL:0000084,T cell
24088_5_358,a4bec017-8284-4952-bf7d-ba3ad1b9b34f,plasmacytoid dendritic cell,CL:0000784,plasmacytoid dendritic cell
24088_6_318,4b33e885-ec22-4970-addd-2a0066cdf21f,T cell,CL:0000084,T cell
