inferred_cell_type,sequence_file.insdc_run_accessions,cell_suspension.biomaterial_core.biomaterial_id,cell_suspension.provenance.document_id
pancreatic A cell,SRR3562251,GSM2171921 1,93d589d6-efe5-4b67-a299-ecf79a8c894b
pancreatic A cell,SRR3562252,GSM2171922 1,bc3b5744-c3fb-48b5-bbec-628e6ece81d9
acinar cell,SRR3562253,GSM2171923 1,8c106729-8ee7-40fc-8bb9-31f90463ddcf
pancreatic A cell,SRR3562254,GSM2171924 1,be019676-04c3-4c8b-88b1-5c28cf1d6f32
pancreatic A cell,SRR3562255,GSM2171925 1,aef59d3c-5f98-4db5-893d-9e5519aaf03b
acinar cell,SRR3562256,GSM2171926 1,2b18618f-0424-4bdb-9b3e-0601e0fc4dc8
pancreatic A cell,SRR3562257,GSM2171927 1,da041ff6-a359-4b7e-8c2f-63d0e869a00c
acinar cell,SRR3562258,GSM2171928 1,c02e3837-14b3-4758-9b1a-960e39ec9a9e
pancreatic A cell,SRR3562259,GSM2171929 1,0d3af963-ede3-428c-80ed-c3e69d68e368
acinar cell,SRR3562260,GSM2171930 1,ad2e0dd9-4cd2-4129-b162-b1625c092ff4
acinar cell,SRR3562261,GSM2171931 1,b3485ca0-56c5-417f-b20f-4f225090cdc7
not available,SRR3562262,GSM2171932 1,1f58661c-4abb-4695-ba5b-91ab75e8baa9
acinar cell,SRR3562263,GSM2171933 1,3db929db-f6ad-47ef-ad20-a4331bc9a2d9
pancreatic D cell,SRR3562264,GSM2171934 1,46143793-81d6-4e6c-b95b-21373bb29773
acinar cell,SRR3562265,GSM2171935 1,8cdabdea-f913-4e15-99a2-a4a01b1492ce
pancreatic D cell,SRR3562266,GSM2171936 1,d05124fa-21de-4bcc-bed9-e82a852e545a
not available,SRR3562267,GSM2171937 1,3f8a472e-3dd9-4c86-a68e-1ee52d2461d7
pancreatic A cell,SRR3562268,GSM2171938 1,eefd0a7a-6861-4a53-8de6-cb9d2cf550dd
acinar cell,SRR3562269,GSM2171939 1,a4609006-35bc-46c6-8916-5fd1561f533b
pancreatic A cell,SRR3562270,GSM2171940 1,63b10763-c7eb-4404-9c20-f142cae68db9
acinar cell,SRR3562271,GSM2171941 1,e7ffc857-0469-4b26-b9c6-99edb3c823c0
acinar cell,SRR3562272,GSM2171942 1,6723ff50-0ff4-461c-b25f-e70dba059904
acinar cell,SRR3562273,GSM2171943 1,69b54c0c-2163-424d-9a96-6219d81e0add
acinar cell,SRR3562274,GSM2171944 1,d6d1f2b3-d71e-41ca-80c8-92af19a128eb
not available,SRR3562275,GSM2171945 1,6b814dec-bda4-481c-96b5-7544d9609220
acinar cell,SRR3562276,GSM2171946 1,ea1ad24e-a4c7-4c73-b552-770f852effa6
pancreatic A cell,SRR3562277,GSM2171947 1,0585f3bc-cfc6-494d-92f4-61c5fd5483d0
acinar cell,SRR3562278,GSM2171948 1,353a4797-e3ca-4df6-af65-1b9e49984467
acinar cell,SRR3562279,GSM2171949 1,247796f2-f3ed-420f-94e1-ad747b5569d0
acinar cell,SRR3562280,GSM2171950 1,bbc4d5e1-e4f5-46fb-8b3a-f95c001c54ea
pancreatic A cell,SRR3562281,GSM2171951 1,f1695da9-1124-4cb3-bc73-187e286e267f
acinar cell,SRR3562282,GSM2171952 1,badd4ecc-74cc-438e-8aec-1cd29801d68e
not available,SRR3562283,GSM2171953 1,bfd58b8d-85cb-408a-87ac-79f624b5d709
acinar cell,SRR3562284,GSM2171954 1,fabafb87-66a9-4b62-8f67-4068175d3aeb
acinar cell,SRR3562285,GSM2171955 1,7a2252d6-4aa2-468d-a651-3801d2e2734e
acinar cell,SRR3562286,GSM2171956 1,48616a82-c5c7-4de3-941d-1de20e282265
not available,SRR3562287,GSM2171957 1,4dfc1f50-7f66-4d26-af74-9ba51e116fcd
acinar cell,SRR3562288,GSM2171958 1,d9e661ab-25ce-4445-8bb7-592a7974b6d0
pancreatic A cell,SRR3562289,GSM2171959 1,002bee8f-a43f-4c99-844d-fec82da6d010
acinar cell,SRR3562290,GSM2171960 1,db0281e4-fb93-4c86-803f-296dcb95fb93
acinar cell,SRR3562291,GSM2171961 1,eff76799-891f-4d35-b0f2-8358463d95ed
acinar cell,SRR3562292,GSM2171962 1,3d20112c-bd3c-427a-8d02-c17c3d2dd1b1
pancreatic A cell,SRR3562293,GSM2171963 1,4ad09a2b-06bb-424b-8b44-6381eb18f2d2
acinar cell,SRR3562294,GSM2171964 1,fb40e1c1-23d5-46e7-9b47-937abd925d91
acinar cell,SRR3562295,GSM2171965 1,bbc748ef-cc63-4e85-b276-f193a7013c61
not available,SRR3562296,GSM2171966 1,1a928576-0924-4947-8a82-c05d52541c36
pancreatic A cell,SRR3562297,GSM2171967 1,8f29a0e1-26c0-409e-bb6f-ab6df954e336
